
;────────────
;범용 캐릭터 라인 변수
;────────────

;<※>       현재 정의(대입)를 하지 않은 플래그
;! 말소 예정! 말소 예정 플래그(주로 후방 호환이기 때문에 존재)

;────────────────────────────────────
;조교지령 명칭(ACT) 통상 행동 0-199
;────────────────────────────────────

;-------------------------------------------------
;회화계
;-------------------------------------------------
0,지금의기분을얘기한다
;서식:nX___STR1___STR2
;n… 실적 Lv를 나타내는 반각 숫자 1자. Lv1～5는 각각 1/2/3/5/10 pt에 상당
;X… 굴복 실적이 유효가 되는 조교 대상의 성별을 나타내는 반각 영대 문자 1자.
;   A=ALL(♂♀쌍)/M=MALE(♂)/F=FEMALE(♀)/T=TWIN(쌍)/P=PENIS(♂쌍)/V=VAGINA(♀쌍)/S=SINGLE(♂♀)
;STR1… 조교 이력의 문언(TARGET 시점)
;STR2… 취득시의 표시 문언(MASTER 시점)
;------------------------------------------------------------------------
;   기존분                                                   Lv1( 0～11) 굴복 포인트+1
1300,1A___호의를안게한___방심했다,                      ;【굴복:0】호의적반응(조교 대상이 적극적 따르는 계를 선택)
1301,1A___알몸에벗긴___알몸에벗겨졌다,                        ;【굴복:1】알몸에 벗겼다(MASTER의 의복이 없어진다)(※양말등은 착의에 세지 않는다)
1302,1P___발기시킨___발기했다,                            ;【굴복:2】발기시켰다(발기도 1000 돌파)
1303,1A___\@PENIS(MASTER)?페니스#클리토리스\@를느끼게한___쾌Ｃ가1000이상,   ;【굴복:3】쾌Ｃ를 1000이상 주었다
1304,1V___바기나를느끼게한___쾌Ｖ가1000이상,            ;【굴복:4】쾌Ｖ를 1000이상 주었다
1305,1A___아누스를느끼게한___쾌Ａ가1000이상,              ;【굴복:5】쾌Ａ를 1000이상 준 코멘트 부분을 쾌Ｂ→쾌Ａ에 수정@revkoishi(14/06/01)
1306,1A___가슴을느끼게한___쾌Ｂ가1000이상,                  ;【굴복:6】쾌Ｂ를 1000이상 준 코멘트 부분을 쾌Ａ→쾌Ｂ에 수정@revkoishi(14/06/01)
1307,1A___위압한___위압당했다,                            ;【굴복:7】고통, 공포(하지만 발생)
1308,1A___채찍으로혼내준___채찍으로맞았다,                    ;【굴복:8】채찍으로 두드렸다
1309,1A___애널조교한___애널조교를받았다,              ;【굴복:9】애널 조교(쾌A발생)
1310,1A___구속한___구속되었다,                            ;【굴복:10】구속했다
1311,1A___입술을빼앗은___입술을빼앗겼다,                        ;【굴복:11】키스
;                                                           Lv2(12～33) 굴복 포인트+2
1312,2A___Ｃ절정시킨___Ｃ절정했다,                        ;【굴복:12】Ｃ절정
1313,2V___Ｖ절정시킨___Ｖ절정했다,                        ;【굴복:13】Ｖ절정
1314,2A___Ａ절정시킨___Ａ절정했다,                        ;【굴복:14】Ａ절정
1315,2A___Ｂ절정시킨___Ｂ절정했다,                        ;【굴복:15】Ｂ절정
1316,2A___옥외에데리고나간___옥외에데리고나가졌다,            ;【굴복:16】야외플레이
1317,2A___거울의앞에서욕보인___거울의앞에서욕보일수있었다,              ;【굴복:17】수치플레이
1318,2A___방뇨시킨___방뇨당했다,                      ;【굴복:18】방뇨시켰다(조교 대상이 따르는 계를 선택)
1319,2P___사정시킨___사정했다,                            ;【굴복:19】사정
1320,2P___대량사정시킨___대량사정했다,                    ;【굴복:20】대량사정
1321,2P___조루사정시킨___조루사정했다,                    ;【굴복:21】사정(조루)
1322,2V___질내사정한___질내사정되었다,                    ;【굴복:22】질내사정 되었다
1323,2V___바이브를사용한___질에이물이삽입되었다,            ;【굴복:23】바이브
1324,2A___Ａ도구로괴롭힌___아누스에이물이삽입되었다,        ;【굴복:24】애널바이브, 비즈
1325,2P___질로짜낸___질로짜내졌다,                ;【굴복:25】질내사정
1326,2A___자위절정시킨___자위로절정했다,                  ;【굴복:26】자위절정
1327,2A___구강사정한___구강사정되었다,                    ;【굴복:27】구강사정 되었다(페라/이라마중에 조교자가 사정)
1328,2P___입으로짜낸___입으로짜내졌다,                ;【굴복:28】구강사정(조교자 페라중에 사정)
1329,2A___적극적으로봉사시킨___적극적으로봉사했다,            ;【굴복:29】적극봉사(봉사계 혹은 다리 빨고/이라마중, 적극적으로 따른다)
1330,2A___섹스한___섹스했다,                      ;【굴복:30】성교
1331,2A___섹스에열중하게시킨___열중해섹스했다,      ;【굴복:31】허리를흔든다(성교중 적극적으로 따른다)
1332,2A___자신에게욕정시킨___격렬하게욕정했다,                ;【굴복:32】정욕(조교 대상 상태가 정욕)
1333,2A___애태움플레이한___초조해해졌다,                    ;【굴복:33】애태움플레이
;                                                           Lv3(34～49) 굴복 포인트+3
1334,3A___구속한채로절정시킨___구속된채로절정했다,  ;【굴복:34】구속절정
1335,3A___관장한___관장을받았다,                          ;【굴복:35】관장
1336,3A___실금시킨___실금했다,                            ;【굴복:36】실금
1337,3A___다중절정시킨___다중절정했다,                    ;【굴복:37】다중절정(복수 개소 동시절정)
1338,3A___동시절정한___조교자와동시에절정했다,            ;【굴복:38】동시절정(조교 대상, 조교자 동시절정)
1339,3A___성교로동시절정한___성교로동시절정했다,          ;【굴복:39】성교동시절정(성교중, 삽입자 사정시에 피삽입자가 A/V절정)
1340,3V___분유시킨___분유했다,                            ;【굴복:40】분유
1341,3P___아누스로짜낸___아누스로짜내졌다,        ;【굴복:41】애널에 사정
1342,3A___항내사정한___항내사정되었다,                    ;【굴복:42】애널에 사정된다
1343,3P___뽑지않고의2전째___뽑지않고두발,                    ;【굴복:43】뽑지않고두발(사정 후 삽입을 중단하지 않고 사정)
1344,3P___드라이사정시킨___드라이사정했다,                        ;【굴복:44】드라이사정
1345,3P___전립선사정시킨___전립선을꾸짖을수있는사정했다,      ;【굴복:45】전립선사정
1346,3A___아누스에삽입한___아누스를범해졌다,              ;【굴복:46】애널섹스(접수)
1347,3A___아누스에삽입시킨___아누스에삽입당했다,      ;【굴복:47】애널섹스(공격)
1348,3A___벌한___벌을받았다,                  ;【굴복:48】벌(벌시, 공포/고통이 발생)
1349,3A___가게해라고하게한___가게해와졸랐다,          ;【굴복:49】가게해！
;                                                           Lv4(50～56) 굴복 포인트+5
1350,4A___배설시킨___배설의순간을볼수있었다,                ;【굴복:50】배설(관장기＋플러그해제시)
1351,4A___공중변소로한___공중변소로되었다,                ;【굴복:51】공중변소(공중육변기플레이 수용시)
1352,4V___삼각목마에실은___삼각목마에실려졌다,          ;【굴복:52】삼각목마
1353,4V___바기나를확장한___질확장을받았다,              ;【굴복:53】Ｖ확장(피스트/양구멍피스트시)
1354,4A___아누스를확장한___아누스확장을받았다,            ;【굴복:54】Ａ확장(A피스트/양구멍피스트시)
1355,4P___뽑지않고의3전째___뽑지않고세발,                    ;【굴복:55】뽑지않고세발(뽑지않고두발 후 삽입을 중단하지 않고 사정)
1356,4A___실신시킨___실신했다,                            ;【굴복:56】실신
;                                                           Lv5(57～58) 굴복 포인트+10
1357,5V___처녀를빼앗은___처녀상실했다,                      ;【굴복:57】처녀상실
1358,5P___동정을빼앗은___동정상실했다,                      ;【굴복:58】동정상실
;   이하, 추가분                                             LvX(59～111) 굴복 포인트 +X
1359,3F___분수시킨___분수했다,                        ;【굴복:59】분수
1360,3V___질내사정으로Ｖ절정시킨___질에사정되어절정했다,  ;【굴복:60】질내사정Ｖ절정(조교자에게 질내사정 되었다고 동시에 조교 대상이Ｖ절정)
1361,4V___사중절정시킨___사중절정했다,                    ;【굴복:61】사중절정
1362,1V___애액을흘러넘치게한___애액이흘러넘쳤다,                  ;【굴복:62】젖음(윤활 1000 돌파)


;------------------------------------------------------------------------
;   구상독자실적 시스템
;STR:1412～1427대신에 CSTR:TARGET:70～85를 참조합니다
;한층 더 FORM 캐릭터 라인을 전개하거나는 하지 않습니다만, 거기는 구상 담당자가 능숙한 일 해 줄 것입니다. 좋다?
;후는 구상으로부터@MARK_CHECK_GET를 부르든지, @KOJO_CHECK_SURRENDER_KX내에서 판정하자마자 하면 대개 OK
;타이밍이 특수한 것은 상당히 능숙한 일 해도 만들 수 없을지도 모르지만…
;------------------------------------------------------------------------
;   이하, 구상용 리저브                                    LvX(112～127) 굴복 포인트 +X
1412,%CSTR:TARGET:구상독자실적1%,                           ;【굴복:112】구상독자실적용 리저브 1
1413,%CSTR:TARGET:구상독자실적2%,                           ;【굴복:113】구상독자실적용 리저브 2
1414,%CSTR:TARGET:구상독자실적3%,                           ;【굴복:114】구상독자실적용 리저브 3
1415,%CSTR:TARGET:구상독자실적4%,                           ;【굴복:115】구상독자실적용 리저브 4
1416,%CSTR:TARGET:구상독자실적5%,                           ;【굴복:116】구상독자실적용 리저브 5
1417,%CSTR:TARGET:구상독자실적6%,                           ;【굴복:117】구상독자실적용 리저브 6
1418,%CSTR:TARGET:구상독자실적7%,                           ;【굴복:118】구상독자실적용 리저브 7
1419,%CSTR:TARGET:구상독자실적8%,                           ;【굴복:119】구상독자실적용 리저브 8
1420,%CSTR:TARGET:구상독자실적9%,                           ;【굴복:120】구상독자실적용 리저브 9
1421,%CSTR:TARGET:구상독자실적10%,                          ;【굴복:121】구상독자실적용 리저브 10
1422,%CSTR:TARGET:구상독자실적11%,                          ;【굴복:122】구상독자실적용 리저브 11
1423,%CSTR:TARGET:구상독자실적12%,                          ;【굴복:123】구상독자실적용 리저브 12
1424,%CSTR:TARGET:구상독자실적13%,                          ;【굴복:124】구상독자실적용 리저브 13
1425,%CSTR:TARGET:구상독자실적14%,                          ;【굴복:125】구상독자실적용 리저브 14
1426,%CSTR:TARGET:구상독자실적15%,                          ;【굴복:126】구상독자실적용 리저브 15
1427,%CSTR:TARGET:구상독자실적16%,                          ;【굴복:127】구상독자실적용 리저브 16
;────────────────────────────────────


;～1600

;3000～3100 <※>예약
